iter	Logloss
0	0.6282452592
1	0.5738377929
2	0.5288390366
3	0.4921685219
4	0.4581623478
5	0.4290921794
6	0.4034592874
7	0.3796659366
8	0.3587146541
9	0.3397740641
10	0.3226861837
11	0.3071435362
12	0.2931852676
13	0.2817533331
14	0.2706823773
15	0.2608910162
16	0.2507154879
17	0.2419388188
18	0.234945414
19	0.228480991
20	0.2224435011
21	0.2173293062
22	0.2116363628
23	0.2072844814
24	0.2026371824
25	0.1980273671
26	0.1939247002
27	0.1906827984
28	0.1871211417
29	0.1838727751
30	0.1803855456
31	0.1774636236
32	0.174616451
33	0.1717090616
34	0.1695720514
35	0.1676742357
36	0.1657304819
37	0.1639228858
38	0.1623534288
39	0.160818137
40	0.159063893
41	0.1577829804
42	0.1567057131
43	0.1554386701
44	0.1545797568
45	0.1535249605
46	0.1523787153
47	0.1509846912
48	0.1494866179
49	0.1486626554
50	0.1475322989
51	0.1464513004
52	0.1453911748
53	0.1439785288
54	0.1430998504
55	0.1422051252
56	0.1415376571
57	0.1404544405
58	0.1399504361
59	0.1388263021
60	0.137975293
61	0.1375249699
62	0.136828143
63	0.1360796456
64	0.1353461056
65	0.1348059092
66	0.1338069111
67	0.1326340936
68	0.1324098665
69	0.1319420434
70	0.1313120167
71	0.1302711407
72	0.1297964075
73	0.1292218632
74	0.1288587517
75	0.1285011683
76	0.1282852696
77	0.1281054194
78	0.1271075042
79	0.1266468558
80	0.1262771578
81	0.1260928855
82	0.125901862
83	0.1254124844
84	0.1248110619
85	0.1242555866
86	0.1236557654
87	0.1230250714
88	0.1227226813
89	0.1223106154
90	0.1219872432
91	0.1216871171
92	0.121262032
93	0.120711468
94	0.120487562
95	0.1203312217
96	0.1202181067
97	0.1200285063
98	0.1194597982
99	0.1189190172
