iter	Passed	Remaining
0	157	15561
1	158	7785
2	160	5187
3	162	3889
4	163	3102
5	164	2580
6	165	2204
7	167	1924
8	168	1706
9	170	1531
10	171	1388
11	173	1269
12	174	1169
13	176	1082
14	177	1006
15	178	939
16	180	880
17	181	827
18	182	779
19	184	737
20	185	697
21	186	662
22	188	629
23	189	599
24	190	572
25	192	546
26	193	522
27	194	500
28	195	479
29	197	460
30	198	441
31	200	425
32	201	408
33	202	393
34	204	379
35	205	366
36	207	353
37	208	340
38	209	328
39	211	316
40	212	305
41	213	295
42	215	285
43	216	275
44	217	266
45	218	257
46	220	248
47	221	240
48	223	232
49	224	224
50	225	216
51	227	209
52	228	202
53	229	195
54	231	189
55	232	182
56	233	176
57	235	170
58	236	164
59	238	158
60	239	153
61	240	147
62	242	142
63	243	136
64	244	131
65	246	126
66	247	121
67	248	117
68	250	112
69	251	107
70	253	103
71	254	99
72	256	94
73	258	90
74	260	86
75	262	82
76	263	78
77	265	74
78	266	70
79	268	67
80	270	63
81	271	59
82	273	56
83	275	52
84	277	49
85	279	45
86	280	41
87	282	38
88	284	35
89	285	31
90	287	28
91	288	25
92	290	21
93	291	18
94	293	15
95	294	12
96	295	9
97	296	6
98	298	3
99	299	0
